Date,dAsk_open,dAsk_high,dAsk_low,dAsk_close,dBid_open,dBid_high,dBid_low,dBid_close
08/20/2020 14:53:01,31.25011985,34.05971856,31.25011985,33.09266321,24.05870337,29.03386618,23.38681264,27.52778643
08/20/2020 14:54:01,33.10137285,35.54480989,33.10137285,33.9661063,27.68044203,29.66157128,25.8097775,28.33155563
08/20/2020 14:55:01,33.51266985,35.40944654,33.51266985,32.73111739,27.44204351,30.04087193,25.75747277,26.51533695
08/20/2020 14:56:01,32.95349735,38.37492429,32.95349735,36.9388216,26.96012902,34.50292673,26.18252506,33.17015438
08/20/2020 14:57:01,35.28032737,40.09115283,35.28032737,38.88863923,32.50292673,36.11822476,30.62995459,34.70721132
08/20/2020 14:58:01,40.11102595,41.12647907,40.11102595,37.73537634,35.929617,36.52640568,31.72800655,32.93873071
08/20/2020 14:59:01,37.70060723,41.52825081,37.70060723,40.1100477,32.91263941,36.52662714,32.22264402,35.70627358
08/20/2020 15:00:01,40.11971308,44.07058005,40.11971308,35.90560457,34.93830799,39.90686366,30.63805693,31.70657734
08/20/2020 15:01:01,35.91429653,39.55460835,35.91429653,38.30015741,31.70657734,34.50816569,28.59353178,32.34835732
08/20/2020 15:02:01,38.29147349,39.17037571,38.29147349,37.96082657,32.33966698,32.72800655,29.17695404,32.72800655
08/20/2020 15:03:01,39.51760107,39.51760107,39.51760107,33.48788217,33.61765886,33.61765886,26.64731091,26.90283199
08/20/2020 15:04:01,33.43570344,36.16329676,33.43570344,34.63513877,26.90283199,29.06676141,24.43952022,28.18951576
08/20/2020 15:05:01,35.30232687,35.30232687,35.30232687,30.5601013,29.53266109,29.5413569,22.43092726,24.8641231
08/20/2020 15:06:01,31.8857367,32.82632938,31.8857367,30.70751373,25.55748545,27.84133504,23.45292737,24.83324292
08/20/2020 15:07:01,30.70751373,32.78875831,30.70751373,29.88161443,24.86808533,27.56082778,22.90771842,23.58080834
08/20/2020 15:08:01,29.65057788,36.64083588,29.65057788,34.70638257,23.55466593,29.32323007,20.98953287,27.96146023
08/20/2020 15:09:01,35.70638257,38.64712833,35.70638257,35.11449845,29.18377814,32.70601473,27.09573055,28.35212308
08/20/2020 15:10:01,33.99424942,38.09600406,33.99424942,37.80906225,27.68515102,31.44245912,27.68515102,31.2439436
08/20/2020 15:11:01,38.69814355,38.70463534,38.69814355,35.67286728,31.68851769,31.68851769,26.64571266,29.32104665
08/20/2020 15:12:01,35.67286728,39.46798086,35.67286728,35.86845712,28.32104665,31.38998633,26.99269487,28.67952364
08/20/2020 15:13:01,35.21029501,43.61529182,35.21029501,41.42978227,28.42237361,36.4788483,28.20006856,34.385169
08/20/2020 15:14:01,40.2074814,43.4304901,40.2074814,38.24652315,33.22373881,36.38603887,30.57811177,31.46740784
08/20/2020 15:15:01,38.32475942,41.03658954,38.32475942,39.83895321,31.07496747,34.47155255,30.24747561,32.60693999
08/20/2020 15:16:01,38.80421369,38.973628,38.80421369,36.2074814,31.59824675,32.20344031,26.92464032,28.77910556
08/20/2020 15:17:01,36.30307522,36.7758739,36.30307522,32.74766988,28.88349389,29.43968325,21.74103834,25.31072266
08/20/2020 15:18:01,32.74766988,40.93955721,32.74766988,40.29014975,24.31072266,33.68337402,23.3977065,33.24751631
08/20/2020 15:19:01,39.52975415,39.52975415,39.52975415,38.61579572,31.78560526,31.78560526,25.44476937,30.88860313
08/20/2020 15:20:01,38.62448028,40.39694958,38.62448028,36.90958165,30.88860313,32.44061981,26.65104191,29.15597529
08/20/2020 15:21:01,36.77904319,38.51340447,36.77904319,34.79995413,29.70946068,30.52029112,24.88334857,26.61845799
08/20/2020 15:22:01,34.79125414,36.91122539,34.79125414,36.91122539,26.61845799,29.01585749,24.70512432,27.74724016
08/20/2020 15:23:01,35.91122539,37.35573389,35.91122539,35.77988188,27.96951273,29.17437054,25.63328132,27.44620018
08/20/2020 15:24:01,35.93646437,37.70865273,35.93646437,35.64108559,27.5594171,29.97302507,25.82475188,28.12763792
08/20/2020 15:25:01,36.30771814,37.01117444,36.30771814,33.9090023,29.01655718,29.34326021,24.3279116,26.68738084
08/20/2020 15:26:01,34.9090023,37.60365303,34.9090023,37.60365303,26.68738084,30.4651525,26.65031093,30.39098941
08/20/2020 15:27:01,37.15925319,41.7366407,37.15925319,38.84986225,30.39098941,34.24957367,28.81805433,32.53479442
08/20/2020 15:28:01,38.79766809,49.03108582,38.79766809,48.39740608,32.43032121,42.04983491,32.43032121,41.41597256
08/20/2020 15:29:01,48.49293624,50.93396999,48.49293624,48.01041665,41.49420594,43.72209792,37.63516384,41.08151423
08/20/2020 20:00:05,44.8965977,52.71038617,44.8965977,41.04648985,37.81421502,45.217188,34.40142149,36.00024898
08/20/2020 20:01:05,40.37066927,48.9821753,40.37066927,46.4368864,35.55547684,43.27664126,31.56437021,41.38995621
08/20/2020 20:02:05,45.65924803,57.08309405,45.65924803,52.47263529,40.61233585,51.37798761,40.34771386,47.29071763
08/20/2020 20:03:05,52.40576023,52.40576023,52.40576023,47.9984367,46.69187728,47.13667192,41.60621856,42.50752143
08/20/2020 20:04:07,47.97228946,48.7304349,47.97228946,42.32138616,42.50752143,44.7965359,32.9984367,36.71996243
08/20/2020 20:05:07,42.32138616,43.19144207,42.32138616,39.31394172,35.72868718,37.51299519,29.73535393,33.82270429
08/20/2020 20:06:07,40.15965199,47.42320876,40.15965199,43.52827165,34.44610051,41.99308058,33.47056154,37.7883826
08/20/2020 20:07:07,44.52827165,44.58484957,44.52827165,43.56199662,38.7883826,39.10379804,36.00066285,38.50654391
08/20/2020 20:08:07,44.00670253,51.18846922,44.00670253,46.60724912,39.17365776,46.2866486,37.53844636,40.85051887
08/20/2020 20:09:07,46.38488941,49.43570248,46.38488941,45.64254263,41.07289818,43.92754347,38.5176501,39.49293347
08/20/2020 20:10:07,45.75439582,49.08125439,45.75439582,42.97355286,39.60487508,42.92343875,32.82873098,35.89995537
